"zipcode","latitude","longitude"
"13860-000",-22.0545,-46.9795
"71936-250",-15.8167,-48.05
"48005-140",-12.1203,-38.4098
"86380-000",-23.0445,-50.2282
"86800-020",-23.5496,-51.4615
"84990-000",-24.1453,-49.8188
"88900-000",-28.9342,-49.4813
"13160-000",-22.5745,-47.1726
"18700-140",-23.1006,-48.9246
"13085-300",-22.9071,-47.0632
"27330-590",-22.5462,-44.1678
"14780-360",-20.5509,-48.5773
"95700-000",-29.1696,-51.5075
"30535-620",-19.9254,-43.9893
"30150-100",-19.9174,-43.9301
"30140-131",-19.9372,-43.9343
"16200-071",-21.2935,-50.3393
"89010-600",-26.9256,-49.0659
"18603-700",-22.8816,-48.4431
"12900-340",-22.956,-46.5422
"70833-510",-15.7801,-47.9292
"70330-545",-15.8371,-47.9327
"70374-520",-15.8371,-47.9327
"73025-060",-15.7801,-47.9292
"73070-044",-15.7801,-47.9292
"89500-000",-28.4743,-48.985
"78200-000",-16.0745,-57.6857
"94910-001",-29.9517,-51.1012
"29306-450",-20.9667,-41.1167
"07700-000",-23.3645,-46.7403
"86390-000",-23.0372,-50.0714
"86181-040",-23.2792,-51.282
"88330-000",-26.9911,-48.6352
"13033-050",-22.9069,-47.0985
"93700-000",-29.68,-51.0541
"79002-232",-20.4551,-54.6121
"87303-000",-24.0378,-52.3733
"28035-301",-22.8667,-42.0187
"92310-000",-29.914,-51.1825
"15800-120",-21.1383,-48.9738
"95080-190",-29.1696,-51.1828
"95001-970",-29.1685,-51.1616
"89801-040",-27.1015,-52.6115
"87200-000",-23.6633,-52.6055
"13084-070",-22.9071,-47.0632
"13835-000",-22.33,-47.1731
"89700-000",-27.2324,-52.0283
"86300-000",-23.1834,-50.6476
"13150-000",-22.6445,-47.1953
"98005-250",-28.635,-53.6011
"12701-450",-22.5745,-44.9626
"11510-010",-23.8851,-46.424
"09920-570",-23.6853,-46.6242
"35500-037",-20.1421,-44.8882
"79825-080",-22.2194,-54.8141
"99700-000",-27.6401,-52.2724
"13990-090",-22.1961,-46.7511
"95880-000",-29.4999,-51.9647
"95270-000",-29.0305,-51.1919
"73801-170",-15.5405,-47.3369
"60160-230",-3.73234,-38.5
"60040-531",-3.7483,-38.5305
"60811-341",-3.80029,-38.4796
"85851-000",-25.544,-54.5863
"14400-320",-20.5438,-47.402
"85605-300",-26.0783,-53.0531
"95720-000",-29.2553,-51.5291
"89110-000",-26.9301,-48.9606
"95670-000",-29.376,-50.8738
"92500-000",-30.1085,-51.3149
"71020-216",-15.8133,-47.9763
"71050-153",-15.7801,-47.9292
"85010-120",-25.3969,-51.4673
"07020-210",-23.4646,-46.5169
"07074-030",-23.4571,-46.5642
"13825-000",-22.6336,-47.0562
"84900-000",-23.8557,-50.1949
"32900-000",-20.0721,-44.3032
"11630-000",-23.7787,-45.3584
"89130-000",-26.8975,-49.2317
"24800-129",-22.7472,-42.8585
"88301-400",-26.9097,-48.6547
"15840-000",-21.3161,-49.0561
"18200-014",-23.5933,-48.0558
"18400-817",-23.9676,-48.901
"13250-340",-23.0037,-46.8426
"13300-000",-23.2657,-47.2965
"75503-040",-18.4003,-49.2031
"86400-000",-23.1616,-49.9697
