"code","latitude","longitude"
3,-22.0545,-46.9795
4,-15.8167,-48.05
6,-12.1203,-38.4098
15,-23.0445,-50.2282
17,-23.5496,-51.4615
21,-24.1453,-49.8188
22,-28.9342,-49.4813
27,-22.5745,-47.1726
32,-23.1006,-48.9246
35,-22.9071,-47.0632
36,-22.5462,-44.1678
37,-20.5509,-48.5773
43,-29.1696,-51.5075
44,-19.9254,-43.9893
45,-19.9174,-43.9301
48,-19.9372,-43.9343
49,-21.2935,-50.3393
50,-26.9256,-49.0659
52,-22.8816,-48.4431
53,-22.956,-46.5422
55,-15.7801,-47.9292
56,-15.8371,-47.9327
57,-15.8371,-47.9327
62,-15.7801,-47.9292
63,-15.7801,-47.9292
67,-28.4743,-48.985
68,-16.0745,-57.6857
70,-29.9517,-51.1012
71,-20.9667,-41.1167
72,-23.3645,-46.7403
75,-23.0372,-50.0714
76,-23.2792,-51.282
77,-26.9911,-48.6352
84,-22.9069,-47.0985
93,-29.68,-51.0541
94,-20.4551,-54.6121
97,-24.0378,-52.3733
98,-22.8667,-42.0187
99,-29.914,-51.1825
107,-21.1383,-48.9738
108,-29.1696,-51.1828
109,-29.1685,-51.1616
110,-27.1015,-52.6115
111,-23.6633,-52.6055
112,-22.9071,-47.0632
114,-22.33,-47.1731
115,-27.2324,-52.0283
117,-23.1834,-50.6476
118,-22.6445,-47.1953
121,-28.635,-53.6011
122,-22.5745,-44.9626
123,-23.8851,-46.424
140,-23.6853,-46.6242
142,-20.1421,-44.8882
143,-22.2194,-54.8141
145,-27.6401,-52.2724
146,-22.1961,-46.7511
148,-29.4999,-51.9647
150,-29.0305,-51.1919
153,-15.5405,-47.3369
154,-3.73234,-38.5
155,-3.7483,-38.5305
156,-3.80029,-38.4796
157,-25.544,-54.5863
158,-20.5438,-47.402
159,-26.0783,-53.0531
160,-29.2553,-51.5291
161,-26.9301,-48.9606
164,-29.376,-50.8738
165,-30.1085,-51.3149
167,-15.8133,-47.9763
168,-15.7801,-47.9292
170,-25.3969,-51.4673
173,-23.4646,-46.5169
174,-23.4571,-46.5642
176,-22.6336,-47.0562
178,-23.8557,-50.1949
179,-20.0721,-44.3032
181,-23.7787,-45.3584
182,-26.8975,-49.2317
184,-22.7472,-42.8585
186,-26.9097,-48.6547
187,-21.3161,-49.0561
189,-23.5933,-48.0558
190,-23.9676,-48.901
193,-23.0037,-46.8426
195,-23.2657,-47.2965
197,-18.4003,-49.2031
202,-23.1616,-49.9697
204,-22.7058,-46.9862
205,-26.4884,-49.082
207,-22.2964,-48.562
211,-21.765,-43.3488
212,-23.1985,-46.8764
213,-23.1865,-46.8845
215,-28.2128,-51.5168
216,-29.4608,-51.9678
217,-22.1892,-47.398
224,-23.0867,-46.9495
226,0.0344566,-51.0666
229,-3.10416,-60.0187
237,-23.6687,-46.4614
239,-22.3648,-46.9445
241,-22.4378,-46.9622
245,-29.6871,-51.4634
246,-16.7379,-43.8816
255,-22.2756,-42.5349
259,-29.6896,-51.1269
261,-20.7378,-48.9107
262,-23.5401,-46.778
263,-23.5445,-46.7657
269,-25.518,-48.508
272,-26.2295,-52.6716
273,-22.7736,-47.1488
278,-22.9236,-45.4598
283,-22.7679,-43.3976
284,-22.0004,-47.4241
285,-23.5288,-46.3455
286,-21.7883,-46.5627
289,-13.4312,-49.1428
293,-30.0178,-51.1954
295,-30.0528,-51.2223
296,-30.009,-51.1489
297,-30.0794,-51.21
299,-21.8549,-47.4793
300,-21.0468,-49.3774
302,-22.1189,-51.3913
304,-8.05651,-34.8974
305,-8.11392,-34.8948
308,-22.4627,-44.4556
309,-15.7801,-47.9292
310,-23.7084,-46.4121
312,-21.1767,-47.8208
315,-22.4098,-47.5661
316,-29.1808,-51.1905
317,-26.104,-49.8005
320,-23.0004,-43.3496
321,-22.9244,-43.2464
322,-23.0065,-43.3104
324,-22.9538,-43.1895
325,-22.8825,-43.5625
326,-22.9035,-43.2096
327,-22.9817,-43.1909
329,-22.9395,-43.3422
330,-22.9768,-43.2297
331,-22.8057,-43.2111
336,-22.8728,-43.34
337,-22.9146,-43.2238
338,-22.9031,-43.2815
339,-23.0006,-43.3389
340,-22.9205,-43.3706
341,-22.9256,-43.2322
342,-22.8403,-43.306
343,-22.8844,-43.3671
344,-23.3105,-51.3695
346,-23.2052,-47.2917
351,-29.7186,-52.4245
352,-20.2119,-50.9271
355,-23.6471,-46.541
356,-23.6432,-46.5222
357,-23.6668,-46.5144
360,-23.9724,-46.3205
361,-23.9519,-46.337
362,-23.9402,-46.3709
363,-23.9991,-46.4133
365,-23.6917,-46.5526
366,-23.6572,-46.5701
368,-22.0124,-47.892
375,-21.889,-45.59
378,-21.5955,-46.8883
380,-23.1959,-45.8929
382,-23.2335,-45.8848
384,-29.768,-51.1444
386,-2.49187,-44.2614
391,-23.6402,-46.6708
392,-23.5367,-46.5756
394,-23.4945,-46.6455
395,-23.6129,-46.6881
398,-23.6217,-46.6741
400,-23.6136,-46.6243
403,-23.6741,-46.6782
404,-23.597,-46.6102
406,-23.4949,-46.4078
407,-23.5405,-46.4533
408,-23.6456,-46.6391
410,-23.5256,-46.7145
411,-23.5028,-46.6732
412,-23.4753,-46.6315
413,-23.6601,-46.692
414,-23.6259,-46.6066
415,-23.6079,-46.6683
416,-23.5765,-46.5871
417,-23.6347,-46.7335
418,-23.6624,-46.6415
419,-23.56,-46.6638
420,-23.5207,-46.5476
421,-23.5368,-46.6715
423,-23.4971,-46.7261
424,-23.5013,-46.7387
425,-23.526,-46.6896
426,-23.5054,-46.4883
429,-23.4917,-46.6269
433,-23.6022,-46.6399
434,-23.6827,-46.6902
435,-23.5423,-46.6818
436,-23.5486,-46.5696
437,-23.4738,-46.6186
438,-23.4709,-46.6059
440,-23.5517,-46.5305
441,-23.5728,-46.5342
442,-23.4951,-46.6118
443,-23.5407,-46.7028
444,-23.5235,-46.5936
445,-23.4856,-46.5786
446,-23.5904,-46.5726
452,-21.1385,-47.9956
453,-19.4586,-44.2449
454,-11.8577,-55.4984
457,-23.5263,-47.465
458,-23.5062,-47.4559
460,-22.8227,-47.269
461,-23.5358,-46.3111
462,-15.8188,-48.0624
463,-15.8531,-48.0427
465,-23.3492,-47.8439
467,-5.07448,-42.7913
468,-5.08661,-42.7862
472,-24.7238,-53.7431
481,-28.5227,-49.3176
482,-22.9712,-46.9964
483,-21.8356,-46.8811
485,-21.5569,-45.4428
487,-23.2107,-46.8311
488,-29.6086,-52.1967
489,-20.3259,-41.136
490,-28.9408,-51.5485
491,-20.3345,-40.2836
492,-23.0301,-46.9756
493,-20.3038,-40.2971
494,-22.5249,-44.1037
590,-10.2213,-48.3221
621,-29.1723,-54.8566
633,-27.8709,-54.482
677,-23.471,-46.651
736,-21.4708,-47.0006
739,-23.1522,-47.0577
764,-22.8781,-43.438
785,-23.206,-46.7836
814,-23.2969,-50.0784
930,-17.823,-50.5883
962,-22.6567,-43.0398
966,-28.3043,-54.2629
982,-23.7392,-46.6916
999,-23.5489,-46.6388
1005,-15.6167,-47.6667
1026,-22.8984,-43.3527
1106,-29.4679,-51.8115
1118,-29.6407,-51.005
1130,-29.8526,-51.174
1151,-23.6112,-46.7605
1155,-15.8167,-48.1167
1157,-19.594,-46.941
1219,-29.6416,-50.7955
1262,-23.6248,-46.6405
1265,-22.4044,-43.6633
1280,-22.8822,-43.3248
1288,-22.7927,-43.3277
1297,-22.4269,-45.453
